id_unique,id_radical,version,categorie,recto,verso,date_creation
q_122.1,q_122,1,Business,Etude de cas : Quelles sont les 4 questions structurantes ?,1. Tu veux savoir quoi ? 2. Pourquoi ? 3. Et alors ? (conséquence). 4. Comment mesurer ?,25/03/2026
q_123.1,q_123,1,Business,"Qualifier : En quoi consiste la méthode 'Quoi, Qui, Où, Quand' ?","Permet de préciser la question, d'affiner le périmètre (scope) et de qualifier le problème avant l'investigation.",25/03/2026
q_124.1,q_124,1,Business,Problème sur les données (ex : écarts) : Quels sont les 2 premières étapes du process ?,"1. Communication avec les stakeholders (verifier la definition métier). 2. Technique Data (vérifier le pipeline : ingestion, nettoyage, modélisation).",25/03/2026
q_125.1,q_125,1,Business,"Problème business (ex : retards, abandons) : Comment procéder en 4 étapes ?","1. Communiquer (pourquoi est-ce important, comment ça marche, ...?) 2. Quantifier le problème et évaluer l'impact 3. Préciser, affiner, qualifier (quoi, qui, ou, quand) 4. Investiguer (framework de pensée)",25/03/2026
q_126.1,q_126,1,Business,Question Business : Pourquoi échanger avec l'équipe/stakeholders avant le SQL ?,"Pour comprendre le processus actuel, l'importance du problème (affiner, qualifier, combien ça nous coûte?) et recueillir les hypothèses du terrain.",25/03/2026
q_127.1,q_127,1,Business,Quantifier : Comment quantifier un problème ?,"En calculant l'ampleur en volume (NB), en pourcentage (%), en délais ou en coût financier direct (combien ça nous coûte?).",25/03/2026
q_128.1,q_128,1,Business,En entretien - Questions Ouvertes : le KPI baisse pourquoi ? Quels peuvent être les raisons ?  Quelle est la stratégie pour les résoudre ?,"1. Contexte 'de la boite' et de la demande 2. Préciser la question, Quantifier le pb 3.Découper la question floue en sous-questions précises via des hypothèses mesurables 4. Deriver des KPIs (3 ou 4 pertinents et variés).",25/03/2026
q_129.1,q_129,1,Business,Contexte : Pourquoi analyser la monétisation ?,Comprendre comment l'entreprise génère du revenu permet de determiner l'importance business de l'analyse.,25/03/2026
q_130.1,q_130,1,Business,Hypothèses : Cite 5 méthodes pour en générer ?,1. Décomposer la métrique. 2. Approche Interne/Externe + Liste metiers. 3. A la place du Client. 4. Analyse du Funnel (étapes). 5. Qualifier ou Affiner (Quoi / Qui / Ou / Quand ),25/03/2026
q_131.1,q_131,1,Business,KPIs : Quel est leur rôle par rapport aux hypothèses business ?,Ils servent à confirmer ou infirmer scientifiquement les hypothèses générées lors de la phase de réflexion.,25/03/2026
q_132.1,q_132,1,Business,KPI en baisse : Cite 4 facteurs Internes typiques ?,"Bugs techniques, problèmes de tracking, fin de campagne marketing, modifications de pricing ou autres changement de process internes",25/03/2026
q_133.1,q_133,1,Business,KPI en baisse : Cite 3 facteurs Externes typiques ?,"Saisonnalité, événement majeur, actions de la concurrence ou changements macro-économiques.",25/03/2026
q_134.1,q_134,1,Business,Investigation : Pourquoi utiliser l'approche Funnel/Etapes ?,Pour identifier à quelle étape précise de la chaîne de valeur se situe le goulot d'étranglement.,25/03/2026
q_135.1,q_135,1,Business,Etude de cas : Pourquoi se demander 'Et alors ?' ?,Pour forcer l'analyse vers la conséquence business réelle et éviter de rester sur un simple constat technique => faire des recommandations,25/03/2026
q_136.1,q_136,1,Business,En entretien - Question Business : Que faire si des tables/colonnes brutes sont fournies ?,1. Ne pas coder. 2. Organiser et catégoriser les colonnes pour démontrer sa compréhension de la structure des données.,25/03/2026
q_137.1,q_137,1,Business,Cite 3 KPI d'inventaire (Inventory),"Opening (stock au début), Closing (stock restant à la fin). Le Turnover Rate mesure combien de fois le stock a été renouvelé sur une période.",25/03/2026
q_138.1,q_138,1,Business,KPI,Key Performance Indicator. Un indicateur clé de performance qui sert de 'tableau de bord' sur le long terme pour vérifier si l'entreprise avance vers ses objectifs stratégiques.,25/03/2026
q_139.1,q_139,1,Business,OKR vs KPI ?,"Les KPI sont des indicateurs de suivi continus et stables. Les OKR sont des objectifs de rupture, limités dans le temps (souvent au trimestre).",25/03/2026
q_140.1,q_140,1,Business,Quel est l'ordre logique des services dans un parcours client standard (le tunnel) ?,Marketing (prospect) -> Sales (client) -> Produit (livraison) -> Care (rétention) -> Ops/Finance (fluidité globale).,25/03/2026
q_141.1,q_141,1,Business,Les 3 Piliers d'un business modèle,"L'acquisition génère le volume de revenus, le produit maximise la valeur par client, et la rétention sécurise la récurrence (LTV).",25/03/2026
q_142.1,q_142,1,Business,C'est quoi une Impression ?,Le nombre de fois qu'un contenu ou une pub est affiché sur un écran.,25/03/2026
q_143.1,q_143,1,Business,C'est quoi un Prospect ?,Un contact ou une entreprise identifiée comme un client potentiel.,25/03/2026
q_144.1,q_144,1,Business,C'est quoi le Panier Moyen ?,Le montant moyen dépensé par les clients lors d'une commande.,25/03/2026
q_145.1,q_145,1,Business,C'est quoi le KYC (Know Your Customer) ?,Le processus légal de vérification de l'identité d'un client (ex: pour une banque).,25/03/2026
q_146.1,q_146,1,Business,C'est quoi le NPS (Net Promoter Score) ?,Un score mesurant la satisfaction client via une seule question : 'Recommanderiez-vous ce service ?',25/03/2026
q_147.1,q_147,1,Business,Rétention vs Churn ?,"La rétention est le taux de clients que l'on garde, le churn est le taux de clients que l'on perd.",25/03/2026
q_148.1,q_148,1,Business,C'est quoi la LTV (Life Time Value) ?,Le profit total généré par un client pendant toute la durée de sa relation avec la boîte.,25/03/2026
q_149.1,q_149,1,Business,C'est quoi le CPA / CAC ?,Le coût moyen dépensé en marketing pour acquérir un nouveau client.,25/03/2026
q_150.1,q_150,1,Business,C'est quoi le SEO ?,L'optimisation d'un site pour apparaître gratuitement dans les premiers résultats Google.,25/03/2026
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
q_161.1,q_161,1,Analytics Method,Comment répartir son temps pour les (4) étapes du Dashboarding ?,"Cadrage / Préparation (50%) Problématique claire → Tant que vous comprenez pas le problème, Ne pas commencer. Pourquoi ? Quoi ? Et Alors ?, SQL (20%), Construire le dashboard (10%), Vérifier les chiffres (20%). ",25/03/2026
q_162.1,q_162,1,Analytics Method,Quelles sont les 3 niveaux d'un dashboard bien construit ?,"De haut en bas. 1. Synthèse (3/4 KPIs flash). 2. Explication (Courbes d'évolution, répartition). 3. Exploration (Tableaux granulaires, graphique à plusieurs dimensions).",25/03/2026
q_163.1,q_163,1,Analytics Method,Que faire en cas d'écart de chiffres entre services ?,1. Communiquer avec les métiers pour voir les définitions et aligner si possible (ex: date de commande vs date de facture). 2. Voir si l'ingestion est correcte 3. Voir si le nettoyage et autres transformations sont conformes,25/03/2026
q_164.1,q_164,1,Analytics Method,Comment structurer un Dashboard ?,"Structure en 'Entonnoir' : 1. KPIs globaux (Est-ce que tout va bien ?), 2. Tendances (Qu’est ce qui se passe ? pb / opportunités, où, quand, qui, quoi, … ?), Chaque graph réponds à une question 3. Tables granulaires exploratoires",25/03/2026
q_165.1,q_165,1,Analytics Method,C'est quoi une clé primaire ?,C'est une colonne (ou plusieurs) qui permet d'identifier de manière unique une ligne de la table,25/03/2026
